,Date,Value,Ticker,pct
1,2021-09-30,134.33,TTEC,0.22922767203513916
2,2021-06-30,109.28,TTEC,0.8760515021459228
3,2021-03-31,58.25,TTEC,-0.7254560022623369
4,2020-12-31,212.17,TTEC,0.5267323882852413
5,2020-09-30,138.97,TTEC,0.8938402834559827
6,2020-06-30,73.38,TTEC,0.6173683050473882
7,2020-03-31,45.37,TTEC,-0.7445382882882883
8,2019-12-31,177.6,TTEC,0.26576865512080383
9,2019-09-30,140.31,TTEC,0.5059568530642911
10,2019-06-30,93.17,TTEC,0.39517819706498947
11,2019-03-31,66.78,TTEC,-0.46546065796846237
12,2018-12-31,124.93,TTEC,-0.06969990319457875
13,2018-09-30,134.29,TTEC,0.52897643174314
14,2018-06-30,87.83,TTEC,0.4667668670674683
15,2018-03-31,59.88,TTEC,-0.022048015678588828
16,2017-12-31,61.23,TTEC,-0.42093815017968605
17,2017-09-30,105.74,TTEC,0.10272186880800915
18,2017-06-30,95.89,TTEC,0.5242409791766016
19,2017-03-31,62.91,TTEC,0.02945508100147265
20,2016-12-31,61.11,TTEC,-0.15207437213819885
21,2016-09-30,72.07,TTEC,1.6331750091340882
22,2016-06-30,27.37,TTEC,-13.671296296296296
23,2016-03-31,-2.16,TTEC,-1.0301633850020946
24,2015-12-31,71.61,TTEC,0.06721311475409841
25,2015-09-30,67.1,TTEC,0.19565217391304346
26,2015-06-30,56.12,TTEC,-7.086767895878524
27,2015-03-31,-9.22,TTEC,-1.346877351392024
28,2014-12-31,26.58,TTEC,1.709480122324159
29,2014-09-30,9.81,TTEC,-4.606617647058823
30,2014-06-30,-2.72,TTEC,0.9154929577464792
31,2014-03-31,-1.42,TTEC,-1.0162063455832002
32,2013-12-31,87.62,TTEC,0.956677087985708
33,2013-09-30,44.78,TTEC,0.6866290018832393
34,2013-06-30,26.55,TTEC,10.10878661087866
35,2013-03-31,2.39,TTEC,-0.964237617836301
36,2012-12-31,66.83,TTEC,1.176164115923152
37,2012-09-30,30.71,TTEC,-0.025388765471278996
38,2012-06-30,31.51,TTEC,2.80096501809409
39,2012-03-31,8.29,TTEC,-0.8930598555211559
40,2011-12-31,77.52,TTEC,2.7759376522162684
41,2011-09-30,20.53,TTEC,-0.4590250329380764
42,2011-06-30,37.95,TTEC,0.8297974927675991
43,2011-03-31,20.74,TTEC,-0.8073564926620843
44,2010-12-31,107.66,TTEC,0.04962464658282162
45,2010-09-30,102.57,TTEC,0.6458600770218228
46,2010-06-30,62.32,TTEC,0.39045069165551083
47,2010-03-31,44.82,TTEC,-0.6697126013264554
48,2009-12-31,135.7,TTEC,0.015794595403847422
49,2009-09-30,133.59,TTEC,0.6795323107870253
50,2009-06-30,79.54,TTEC,0.7458296751536435
51,2009-03-31,45.56,TTEC,
53,2021-09-30,54.45,CSV,0.6656469868461306
54,2021-06-30,32.69,CSV,0.4785165083672547
55,2021-03-31,22.11,CSV,-0.7100708103855232
56,2020-12-31,76.26,CSV,0.3196054680740614
57,2020-09-30,57.79,CSV,1.2914353687549562
58,2020-06-30,25.22,CSV,1.3330249768732654
59,2020-03-31,10.81,CSV,-0.6246527777777777
60,2019-12-31,28.8,CSV,0.17168429617575276
61,2019-09-30,24.58,CSV,0.8398203592814371
62,2019-06-30,13.36,CSV,0.7695364238410596
63,2019-03-31,7.55,CSV,-0.7871440654073865
