,cik,company.name,ticker,date.filed,period.of.report,90_DAYS,Filed_Close_Price,90_Days_Close_Price,Price_Change,Pct_Change_Price
0,1013880,TELETECH HOLDINGS INC,TTEC,2017-05-09,3/31/17,2017-08-07,32.45000076293945,40.849998474121094,8.39999771118164,0.25885970766370897
1,1013880,TELETECH HOLDINGS INC,TTEC,2017-11-08,9/30/17,2018-02-06,41.20000076293945,36.20000076293945,-5.0,-0.12135922105364715
2,1013880,TTEC Holdings  Inc ,TTEC,2018-05-10,3/31/18,2018-08-08,32.79999923706055,26.25,-6.549999237060547,-0.19969510333584817
3,1013880,TTEC Holdings  Inc ,TTEC,2018-08-07,6/30/18,2018-11-05,32.79999923706055,25.270000457763672,-7.529998779296875,-0.2295731388551
4,1013880,TTEC Holdings  Inc ,TTEC,2018-11-07,9/30/18,2019-02-05,25.43000030517578,33.65999984741211,8.229999542236328,0.3236334818510117
5,1013880,TTEC Holdings  Inc ,TTEC,2019-05-07,3/31/19,2019-08-05,35.959999084472656,43.75,7.790000915527344,0.21662961940649844
6,1013880,TTEC Holdings  Inc ,TTEC,2019-08-07,6/30/19,2019-11-05,44.91999816894531,47.439998626708984,2.520000457763672,0.05609974533582755
7,1013880,TTEC Holdings  Inc ,TTEC,2019-11-05,9/30/19,2020-02-03,47.439998626708984,40.72999954223633,-6.709999084472656,-0.1414418060437061
8,1013880,TTEC Holdings  Inc ,TTEC,2020-08-05,6/30/20,2020-11-03,52.459999084472656,58.5099983215332,6.049999237060547,0.11532595010759832
9,1013880,TTEC Holdings  Inc ,TTEC,2020-11-04,9/30/20,2021-02-02,61.29999923706055,81.06999969482422,19.770000457763672,0.32251224639185955
10,1013880,TTEC Holdings  Inc ,TTEC,2021-05-04,3/31/21,2021-08-02,102.7699966430664,102.19000244140625,-0.5799942016601562,-0.005643614095605663
11,1013880,TTEC Holdings  Inc ,TTEC,2021-08-03,6/30/21,2021-11-01,102.41000366210938,97.05999755859375,-5.350006103515625,-0.05224104982133763
12,1013880,TTEC Holdings  Inc ,TTEC,2021-11-09,9/30/21,2022-02-07,100.94000244140625,75.12999725341797,-25.81000518798828,-0.2556964985509139
13,1016281,CARRIAGE SERVICES INC,CSV,2017-04-26,3/31/17,2017-07-25,28.81999969482422,26.799999237060547,-2.020000457763672,-0.07009023175411218
14,1016281,CARRIAGE SERVICES INC,CSV,2017-07-28,6/30/17,2017-10-26,24.90999984741211,25.899999618530273,0.9899997711181641,0.03974306612535025
15,1016281,CARRIAGE SERVICES INC,CSV,2017-10-25,9/30/17,2018-01-23,24.010000228881836,26.610000610351562,2.6000003814697266,0.10828822810014653
16,1016281,CARRIAGE SERVICES INC,CSV,2018-04-27,3/31/18,2018-07-26,26.850000381469727,24.6299991607666,-2.220001220703125,-0.08268160853491972
17,1016281,CARRIAGE SERVICES INC,CSV,2018-07-31,6/30/18,2018-10-29,24.989999771118164,18.889999389648438,-6.100000381469727,-0.24409765655619234
18,1016281,CARRIAGE SERVICES INC,CSV,2018-11-01,9/30/18,2019-01-30,14.970000267028809,19.610000610351562,4.640000343322754,0.30995325721819006
19,1016281,CARRIAGE SERVICES INC,CSV,2019-05-02,3/31/19,2019-07-31,17.770000457763672,19.1200008392334,1.3500003814697266,0.07597075670754497
